Density,Slope,Elev.m,Ave.temp,Ave.ppt,Pct.graze,Pct.grass,Road.dens
0,29.7,4524,4.8,61.5,17.9,98.7,2.27
0,29.6,4656,4.8,57.7,24.8,99.1,2.58
0.16,33,6076,3.7,70.2,1.3,100,0.44
0.133,35.7,6113,3.6,69,0,94.8,0.68
0,24.8,4449,4.8,60.2,24.2,97.9,2.16
0.267,18.2,4586,4.7,68.2,0,100,2.58
0.2,20,5692,3.1,101,0,100,1.42
0,16.2,4196,5.2,54.5,18.2,100,2.75
0,18.5,5012,4.5,58.6,55.2,89.7,2
0,11.6,4180,5,52.8,67.2,100,3.01
0,9.9,4011,5,53.7,0,100,2.96
0.3,22.2,5140,3.9,82.4,0,100,2.25
0,22.2,5103,4.7,77.1,0,100,3.35
0,27,5688,4.7,92.7,0,94.6,1.62
0.025,27.6,5802,4.4,108.1,1.5,93.9,1.87
0,11.3,4584,4.8,73.2,0,97.9,3.54
0.1,15,5066,4.1,101.5,0,52.8,2.83
0.057,21.1,5575,3.1,140,0,79.5,2.66
0,17.3,5082,4.6,86.2,0,74.5,2.47
0.1,29.1,5875,4.1,125,0,83.7,1.92
0,19.1,5306,4.3,61.6,38.1,100,2.31
0.2,8.7,4302,5,55.6,3.9,82.4,2.06
0,31.6,5785,5,96.5,0,100,0.78
0.4,34.1,5833,5,85,0,94.3,0.49
0.073,14,4737,5,55.7,1.2,79.8,1.51
0.4,31.8,6142,5,97.3,5.2,43.1,0.07
0,10.8,4606,4.8,51.5,6.5,87.9,2.18
0,17.7,5304,4.3,61.9,2.5,100,1.25
0.133,7.9,4544,5,47.2,1.8,94.6,3.08
0.2,20,6141,3.9,74,63.9,95.8,1.65
0,11.8,4796,5,53,36.8,89.5,1.91
0,24.5,5449,5,69.5,26.1,100,1.23
0,24.8,5540,5,79.6,0,100,2.01
0,21.6,5761,5,78.8,17.1,87.8,1.75
0,17.1,5335,5,64.9,27.6,99.1,1.84
0,12.9,5060,5,60.2,0,93.4,2.24
0.4,23.8,5825,4.7,76,11.6,97.7,1.38
0.2,26.5,6582,5,120.6,3.7,98.2,0.77
0,15.5,5697,5,74.8,0,100,2.1
0,24.3,4574,4.6,91.9,53.2,100,2.67
0,22.4,4845,4.1,98.8,56.2,97.1,2.93
0,29.8,4770,4.7,104.1,0,100,3.9
0,29,5011,4.2,116.6,0,100,2.51
0.087,33.5,5735,3.1,153.4,0,96.6,1.12
0,23.3,3624,6.9,60.5,16.3,100,3.03
0.12,33,5804,2.8,159,0,86,1.51
0.073,33.9,4930,4.4,111.3,0,91.2,2.13
0.027,34.5,5387,3.6,140.4,0,92.4,1.95
0,29.2,4048,5.7,81.5,27.3,100,2.78
0,34.7,4842,4.5,117.7,0,86.7,2.3
0,33.9,4646,4.8,115.5,0,82.6,2.55
0.061,34.3,4833,4.7,123.4,0,93.2,2.47
0,26.1,4456,5.1,101.4,0,93,2.8
0,24.4,4152,5.9,89.4,0,100,2.69
0,32.7,4981,4.4,138.6,0,95.6,2.22
0,23.8,4316,5.6,99.9,0,100,2.88
0,30.4,4711,4.9,127.8,0,75.4,2.76
0,29.4,4908,4.6,134.5,0,82.3,2.25
0,27.5,4821,4.2,88.6,2.7,100,3.01
0.058,18.2,6041,3.1,62.2,40.8,100,3.08
0.016,31.8,5940,2.6,144.1,0,100,1.54
0,24.3,4797,4.6,96,11.8,100,3.32
0,20.9,5249,3.7,126.7,0,97.9,3.89
0.048,19.6,5680,3.1,146.2,0,83.7,2.95
0.052,29.9,6502,2.7,77,1.1,100,0.9
0.358,23.3,4978,5,50,19.3,97.7,2.28
0,29.5,6842,2.2,84.5,7.1,96.9,0.72
1.579,29.2,6631,1.9,78.5,2.5,99.2,1.16
1.154,22.7,6510,2.2,71.2,73.3,100,1.42
0,20.2,5332,4.3,57.8,67,98.9,3.16
2.488,32,6045,2.9,87.1,0,100,2.1
0.582,33.2,6738,2.3,89.4,0,100,0.88
0.073,25.5,5939,3.5,83.6,0,75,2.86
1.556,26.9,6774,1.6,112.3,0,100,0.22
0.287,28.7,6192,2.7,88.9,0,91.8,1.58
0.582,27.8,6867,1.9,88.3,0,99.1,0.98
0.884,28.5,6961,1.6,101.5,0,97.3,1.23
0.073,29.9,6313,3,74.8,0,98.5,2.32
0.263,28.4,6906,1.4,86.3,2.9,100,0.89
0.258,33.1,6291,2.9,75.4,0,98.2,2.13
0.395,29,7051,1.6,84.5,0,97.1,0.15
0,25.8,6027,3.7,70.9,0,100,1.8
0.19,25.2,5697,3.9,58.9,41.5,100,1.68
0.453,29.4,6606,2.5,77.2,29.2,100,0.57
0.435,26.2,6093,3.2,60.1,67.8,100,2.15
0.173,23.4,6155,3.2,57.4,95.8,100,1.49
0.132,23.7,6645,2,61,81.4,100,1.05
0.502,24.4,6936,1.7,62,61,97.6,1.3
0.232,20.4,6202,2.7,58,6.3,100,2.76
0.734,24.1,6772,2.1,65,0,100,2.03
0.033,26.4,6934,1.4,69,2.9,100,0.8
0.408,27.7,7192,1.2,61,2,100,0.11
0,41.2,5142,2.9,142.3,0,98.2,0.02
0.025,30.5,5124,2.9,138.5,0,87.1,0.02
0.025,34.2,4745,2.4,157.8,0,87.5,0.58
0,40.8,5598,2,176.1,0,87.7,0.02
0.015,37.6,5234,3.1,142.9,0,97,0.02
0.039,44.1,6045,1.9,170.5,0,100,0.01
0.024,40.5,5817,2.1,163.7,0,92,0.02
0,37.3,5111,2.7,150.1,0,82.8,0.63
0.016,37.3,5675,2.7,147,0,94.3,0.01
